CfgID,GUID,IN_E11,IN_E22,IN_ElemCount,IN_HubMaterial,IN_Root_AvgCapMaterialThickness,IN_Tip_AvgCapMaterialThickness,OUT_Blade_Cost_Total,OUT_Blade_Tip_Deflection
32-20,51b1b815-1a44-48b8-8e2a-633dba5d5029,26296.65778,66914.98128,26,Steel,91.83442347,26.62002698,166785.4052,2328.629795
32-20,3936faa5-4b72-4fa8-8001-5a0085df2649,28643.31141,74182.8965,54,Steel,93.57121516,20.13549435,168664.9068,2378.073604
28-16,108bb3f8-03d3-4238-9320-08599b1edeeb,26155.01851,11245.18698,42,Steel,86.40485101,26.38263535,155623.3032,2615.475697
32-20,fb060a4d-c4e0-41f9-bfb6-2019ab7c8d04,30465.18487,42636.77745,28,Steel,85.270895,28.33595807,161413.7257,2206.751029
32-20,28c8433a-0b3d-49ea-af84-696f86541e31,27206.2164,33301.18379,48,Steel,85.15488188,20.72300568,159310.8524,2633.24689
32-16,258c43ae-2f64-4508-a5d3-29b5c2606aff,26762.3462,52854.31875,55,Steel,86.51513164,22.90814649,160694.2597,2474.978742
32-20,70c5696e-e87a-44a8-b709-cfdc9021355d,31032.86947,36614.09603,32,Steel,79.81802597,24.05868296,147473.7666,2425.255905
28-16,eeb84a1d-e7ab-40ae-8112-fd01711ffe29,27030.86238,51502.98095,30,Steel,87.23281642,29.75468205,157528.7406,2422.044675
32-20,64a0f3da-4fae-42ef-89ce-035701e95a26,28625.49777,16854.89893,58,Steel,95.44413866,24.1976625,171572.072,2238.345407
30-20,b5546cac-133d-4eae-848e-1389cc68fff7,29884.03987,26105.89622,40,Steel,94.6214389,27.60208695,169460.4423,2193.412267
32-20,2ef08dce-a899-4d0c-9890-f4a257c513c0,26527.04791,69436.58079,31,Steel,77.78958257,23.59157731,145521.3087,2742.633897
30-20,aae33c1b-1270-40e8-ba56-007608de4b5d,31348.36217,46003.65359,14,Steel,93.87630772,26.50236213,168440.7215,2093.192865
32-16,669c91bf-6173-4ea0-9a36-e8bcab01840a,30642.21578,69888.8031,45,Steel,86.37207176,28.16839389,161769.5041,2131.306916
28-20,8e1fc6d8-f0f7-4547-ae36-bfb963866476,27189.43808,67568.37064,59,Steel,87.64185441,21.48091771,156136.5602,2788.199015
32-16,ce3d3f02-c239-4fa7-9b3c-d6b0e53d8495,29529.24519,54829.28088,34,Steel,95.36053528,21.18109912,170040.9207,2158.44312
28-20,d82d6c2c-5905-4447-90ae-ec116ce15800,30052.06785,28983.53664,32,Steel,88.10139334,27.58905982,157994.1665,2399.984956
32-16,c566f584-18c1-44c9-a9b7-2f140ebb7b01,30117.05186,35162.80975,58,Steel,84.17879106,23.44882357,158863.5428,2329.013503
30-20,acac3f14-2b37-47de-b316-4aef5920824d,28230.97809,49919.28463,36,Steel,88.0340721,20.26230016,159091.4905,2622.840604
32-20,3d671374-1724-4e6f-8ed2-7595d975ef87,26492.4417,30835.95842,17,Steel,92.83833258,29.40454279,168511.0364,2192.492283
28-16,9d9a9387-5733-410b-aa00-a2a36279e9f2,27322.84267,83470.84759,20,Steel,89.936735,28.68614619,159480.7981,2359.748863
28-20,481ae36e-65f9-4f1c-9289-1c9781cd5f40,31632.37856,52098.07755,37,Steel,81.261193,21.12813473,142726.132,2694.026497
28-16,744d0db5-eff2-40b0-8279-32da97b4919e,31836.53184,72813.70082,41,Steel,89.6779797,25.5902997,158288.9237,2281.986486
30-20,c58c59e1-47f0-4972-b951-f1eae8b63a7b,30279.58243,83890.80701,50,Steel,95.54717443,22.17321327,168362.5484,2290.738224
32-16,e0ac5884-21aa-49dd-ad3a-d94755fab6af,27800.26451,11847.81952,27,Steel,83.21628246,27.83659605,156891.0166,2299.725705
32-20,1056ce6e-bff6-4277-9c7c-73bc9fea1695,26931.54274,32748.07468,37,Steel,87.81160812,28.3403209,163492.8218,2348.136243
28-20,b991b4c6-8c29-4a1f-81ba-180372b73c98,27227.57395,19058.31639,56,Steel,81.21461712,29.45648565,144633.1531,2677.465686
28-20,61e96070-eeea-4916-8028-0adc04b95580,28752.15556,45506.56247,58,Steel,92.34401868,28.95696032,161895.8094,2372.743522
